url,title,price_czk,source,discount_pct,scraped_at
https://www.sbazar.cz/inzerat/233462469-garmin-fenix-8-51-mm-amoled-sapphire-titan,Garmin Fenix 8  51 mm AMOLED Sapphire (Titan),14999,sbazar,42.3,2026-08-27T17:25:18.368158+00:00
https://www.sbazar.cz/inzerat/233467533-prodam-garmin-fenix-8-amoled-47mm-sapphiretitanium,Prodám Garmin Fenix 8 AMOLED 47mm SapphireTitanium,14999,sbazar,42.3,2026-08-27T17:25:18.368303+00:00
https://elektro.bazos.cz/inzerat/223125295/garmin-fenix-8-amoled-47-mm-sapphire-titanium.php,Garmin Fenix 8 AMOLED 47 mm Sapphire Titanium: 15 500,15500,bazos,40.4,2026-08-28T18:18:34.104421+00:00
https://mobil.bazos.cz/inzerat/223119641/garmin-fenix-8-51mm-solar-sapphire-mip-cerne.php,Garmin Fenix 8 51mm Solar Sapphire MIP černé: 16 000,16000,bazos,38.4,2026-08-28T18:18:34.104440+00:00
https://mobil.bazos.cz/inzerat/223113062/garmin-fenix-8-47mm-amoled-slate-gray-steelblack-band.php,Garmin Fenix 8 47mm AMOLED Slate Gray Steel/Black Band: 15 000,15000,bazos,42.3,2026-08-28T18:18:34.104447+00:00
https://mobil.bazos.cz/inzerat/223111195/garmin-instinct-2x-solar-nove.php,Garmin Instinct 2X solar - nové: 5 000,5000,bazos,80.8,2026-08-28T18:18:34.104452+00:00
https://mobil.bazos.cz/inzerat/223108218/garmin-fenix-8-pro-51mm.php,Garmin Fenix 8 Pro 51mm: 20 000,20000,bazos,23.0,2026-08-28T18:18:34.104457+00:00
https://mobil.bazos.cz/inzerat/223092791/garmin-fenix-8-amoled-47-mm-exclusive-titanium-graphite-tit.php,"Garmin Fenix 8 AMOLED 47 mm, Exclusive Titanium Graphite Tit: 19 000",19000,bazos,26.9,2026-08-28T18:18:34.104462+00:00
https://www.sbazar.cz/inzerat/233515062-garmin-fenix-8-amoled-47-mm-sapphire-titanium,Garmin Fenix 8 AMOLED 47 mm Sapphire Titanium,15500,sbazar,40.4,2026-08-28T18:18:35.708373+00:00
https://www.sbazar.cz/inzerat/233498454-garmin-fenix-8-pro-51mm,Garmin Fenix 8 Pro 51mm,20000,sbazar,23.0,2026-08-28T18:18:35.708467+00:00
https://www.sbazar.cz/inzerat/233507946-garmin-fenix-851-mm-multisportovni-hodinky,Garmin Fenix 8/51 mm multisportovní hodinky,19999,sbazar,23.1,2026-08-28T18:18:35.708555+00:00
https://obleceni.bazos.cz/inzerat/223128424/garmin-fenix-8-51mm-solar-dlc-sapphire.php,Garmin Fenix 8 51mm Solar DLC Sapphire: 19 000,19000,bazos,26.9,2026-08-28T23:13:03.218832+00:00
https://ostatni.bazos.cz/inzerat/223128420/garmin-fenix-8-47mm-amoledtitansapphire-carbon.php,Garmin Fenix 8 47mm AMOLEDTitan/Sapphire Carbon: 16 000,16000,bazos,38.4,2026-08-28T23:13:03.218844+00:00
https://mobil.bazos.cz/inzerat/223127484/garmin-fenix-8-amoled-saphire.php,Garmin Fenix 8 Amoled Saphire: 13 900,13900,bazos,46.5,2026-08-28T23:13:03.218849+00:00
https://sport.bazos.cz/inzerat/223127321/garmin-fenix-8-51mm-sapphire-titanium.php,"Garmin Fenix 8, 51mm Sapphire Titanium: 16 499",16499,bazos,36.5,2026-08-28T23:13:03.218852+00:00
https://www.sbazar.cz/inzerat/233518179-garmin-fenix-8-47mm-amoledtitansapphire-carbon,Garmin Fenix 8 47mm AMOLEDTitan/Sapphire  Carbon,16000,sbazar,38.4,2026-08-28T23:13:03.782337+00:00
https://mobil.bazos.cz/inzerat/223149910/garmin-fenix-8-51mm-sapphire-solar-carbon-grey-titan.php,Garmin Fenix 8 51mm Sapphire Solar Carbon Grey Titan: 18 000,18000,bazos,30.7,2026-08-29T12:27:00.611296+00:00
https://sport.bazos.cz/inzerat/223146456/garmin-fenix-8-47.php,GARMIN FENIX 8 47: 16 999,16999,bazos,34.6,2026-08-29T12:27:00.611314+00:00
https://mobil.bazos.cz/inzerat/223143650/garmin-fenix-8-amoled-51mm-sapphire-carbon-gray-dlc.php,"Garmin Fenix 8 AMOLED 51mm, Sapphire Carbon Gray DLC: 18 000",18000,bazos,30.7,2026-08-29T12:27:00.611320+00:00
